run_index,status,error_message,Feed_Temp_K,Feed_Pressure_Pa,Feed_Benzene_Frac,Num_Stages,Feed_Stage,Reflux_Ratio,Bottoms_Rate_mols,Column_Pressure_Pa,feed_vapor_fraction,distillate_benzene_purity_mole_fraction,bottoms_toluene_purity_mole_fraction,condenser_duty_kW,reboiler_duty_kW,distillate_molar_flow_mol_s,distillate_volumetric_flow_m3_s,distillate_component_2_mole_fraction,distillate_mass_flow_kg_s,distillate_temperature_K,distillate_mass_enthalpy,distillate_pressure_Pa,distillate_component_1_mole_fraction,bottoms_mass_enthalpy,bottoms_pressure_Pa,bottoms_volumetric_flow_m3_s,bottoms_component_1_mole_fraction,bottoms_molar_flow_mol_s,bottoms_mass_flow_kg_s,bottoms_component_2_mole_fraction,bottoms_temperature_K
0,OK,,326.3286225265786,130658.73199159108,0.6895446171760666,24,7,1.7751149633299663,59.11499455006179,109658.77574520062,0.0,0.99380256115432575,0.52088571090598368,3.4300090316241678,-3.9659426144795451,40.885005449938269,0.0039339122185248192,0.0061974388456742463,3.1971570940343561,355.56988746738364,-322.17249885134095,109658.77574520062,0.99380256115432575,-289.20864685245999,109658.77574520062,0.0063365383182131434,0.47911428909401627,59.114994550061787,5.0494899427820839,0.52088571090598368,368.53076148495018
1,OK,,357.7063178586004,134783.6872722913,0.6450567892722695,15,12,3.1827601666086878,52.84036835485768,117801.10833610463,0.0,0.99974214210505252,0.67149722256181632,5.9336399885642424,-6.090597043565003,47.159631645141886,0.00454695750909227,0.00025785789494749606,3.683896171638307,357.86921938559522,-318.17504718583098,117801.10833610463,0.99974214210505252,-272.81863792699056,117801.10833610463,0.005865832372964121,0.32850277743818374,52.840368354858157,4.6251521173778443,0.67149722256181632,375.97459371163785
2,OK,,348.55168335243695,115671.56304209049,0.5627616420812933,25,9,1.8847273339236934,56.551680458790514,110832.71704088125,0.0,0.9949553881819353,0.76929024093868148,3.7860346831918061,-4.0955402847176723,43.448319541199325,0.0041815657375990972,0.0050446118180646708,3.3969025309519982,355.90388084385461,-321.59921938264603,110832.71704088125,0.9949553881819353,-268.79059634849028,110832.71704088125,0.0063892735218466024,0.23070975906131852,56.551680458800668,5.027577786927897,0.76929024093868148,377.3179453791937
3,OK,,356.6542935794334,118826.50284935065,0.5442190398868125,21,14,2.460919007435284,49.69424379848431,118826.50284935065,0.0,0.9997663037430472,0.91693395977917891,5.2347652058602598,-5.4920967810228047,50.305756201499172,0.0048522405375369454,0.0002336962569528972,3.9296400798266338,358.1644829443722,-317.64488962648079,118826.50284935065,0.9997663037430472,-250.25243566676829,118826.50284935065,0.0058141834069688515,0.083066040220821133,49.6942437985008,4.5208491859047673,0.91693395977917891,385.81289991172554
4,OK,,356.40574124192483,130611.5846417603,0.479394365181097,25,12,2.213190061985895,54.41925997779876,117769.99548756794,0.0,0.99874963810035167,0.95560966985585771,4.4066160054600267,-4.7036714734461667,45.580740022175718,0.0043956012210957995,0.001250361899648379,3.5611948810117933,357.88116080213763,-318.13334138346488,117769.99548756794,0.99874963810035167,-247.01140288395442,117769.99548756794,0.0064174311791893026,0.044390330144142301,54.419259977824325,4.9802212981176579,0.95560966985585771,387.19389400316425
5,OK,,333.9622147954612,113324.53683419144,0.4715169417240971,22,10,3.413490783830241,58.41929432519523,113324.53683419144,0.0,0.99939384693759592,0.90420642983941357,5.5318274500744407,-6.1386447144416172,41.580705674820386,0.0040021398621500892,0.00060615306240421342,3.2482989587494013,356.56101183917991,-320.5140057606618,113324.53683419144,0.99939384693759592,-254.86202426924891,113324.53683419144,0.0068000789763797724,0.0957935701605864,58.419294325179614,5.3041665592888192,0.90420642983941357,383.53908922877997
6,OK,,359.31278499550433,148787.1220557256,0.4543408623681463,21,11,2.365947339914907,58.975310610588785,105792.90964104522,0.0,0.99823804841870423,0.92400751573253426,4.178042280431602,-4.375769039387702,41.024689389412515,0.0039372058368539282,0.0017619515812956933,3.2055278648829728,354.27617120516931,-324.56828036782713,105792.90964104522,0.99823804841870423,-257.7255164421025,105792.90964104522,0.0068706646724965787,0.075992484267465757,58.975310610587492,5.3710298354485859,0.92400751573253426,381.92070124236005
7,OK,,358.1881584366655,130035.83811716427,0.6789113285510955,18,13,2.5458867784534673,50.83148502354193,107213.13303414361,0.0,0.99989600625457353,0.63157222166522609,5.2696909924654571,-5.3513071352546877,49.168514976458084,0.0047199673192517668,0.00010399374542643039,3.8407148958915776,354.68677020462917,-323.87095039197396,107213.13303414361,0.99989600625457353,-282.35647214603983,107213.13303414361,0.0055701055853468332,0.36842777833477403,50.831485023541838,4.4208470189142659,0.63157222166522609,371.25710419763845
8,OK,,345.5582959829601,116018.53351796788,0.6693996819226694,19,9,2.9350609135318764,45.39877518763432,116018.53351796788,0.0,0.99934511168317397,0.72742654327190714,6.4688153975972158,-6.790862241852917,54.601224812365899,0.005261147808721482,0.00065488831682598944,4.2655036950039067,357.35853762628017,-319.08375877170312,116018.53351796788,0.99934511168317397,-269.23138178573174,116018.53351796788,0.0050955635951141533,0.27257345672809291,45.398775187634016,4.0093998165501175,0.72742654327190714,377.41198601823243
9,OK,,350.91052506543895,121757.10893356617,0.4689514345181647,22,8,3.4838369662198474,56.49959086560534,112891.55049007923,0.0,0.99783961274501098,0.93825243699175076,5.8826049768724662,-6.2420024490886643,43.500409134382181,0.0041875559276141304,0.0021603872549890153,3.399215185319957,356.46422662365478,-320.65562744700287,112891.55049007923,0.99783961274501098,-251.77495388482865,112891.55049007923,0.006623693944341892,0.061747563008249282,56.499590865617797,5.1568488644902262,0.93825243699175076,384.88103817403749
